original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,Survival
0.861086206,0.702650218,40.56075177,57.72538134,57.55866572,63.89053138,59.13543777,65.32227798,31564.70833,49.70652963,0.260631708,18532.104,0.587114691,31485,359.8027832,648.6691528,8470046976,4.232609535,131.8702698,4.131962779,1006.028564,88.43105231,505.0972117,510.6861877,26.47034645,979.558218,56.69345139,518.6699184,-0.485258188,8470046976,0.066688575,13895.29099,405.6782933,19.7252512,22238.18483,-319.0050441,72.99147059,6.639859389,0.83202465,1.80409148,2.505265674,3.247607629,0.011430979,7.298299368,-0.23939291,0.916241145,0.445926311,0.995947849,0.506031643,0.958566441,0.395989044,0.034713176,5.082891107,19.9078325,1604.021522,0.062410724,24.26484119,411.6246775,1.964930594,799.7828341,0.007685852,0.004525995,5.104706954,18671.72917,0.723852958,0.815333309,0.436976307,0.874089744,360.0089232,0.004089648,123.9041353,0.038817085,50.18712037,401.4442356,4897.784148,1990213.533,12.65022779,0.008922582,814.2431078,0.255088693,0.519446896,201.3968145,0.005468226,7.592192671,0.10138161,4800.49114,7.743656123,3089.555249,0.098127847,14.96929789,2099.689789,22.31801495,410.5725901,48.6247737,19614.22792,0.149963242,0.004307133,0.112620538,45.22759811,0.00084839,
0.624455029,0.50817694,37.81825912,74.41947113,65.4599114,60.14149982,60.08327554,72.53275122,19228.33333,46.471613,0.170653059,20339.07236,1.057765746,19677,486.1596619,774.1976074,8012957208,4.223158263,157.142334,3.955917544,1256.806885,92.2238632,627.2404549,620.0999756,308.553009,948.2538757,64.17063883,638.1414707,0.67866779,8012957208,0.062826115,13793.94839,204.023211,13.65091148,20762.98276,349.1847651,75.90962316,5.231297519,0.870773483,1.571980796,2.366393723,2.699064613,0.011164425,7.147868617,-0.286491582,0.949080307,0.48591668,0.996634904,0.538007283,0.962752645,0.421867428,0.028206123,5.125510435,20.28523017,996.0185735,0.061260564,23.24972348,212.8628225,1.81234038,356.5742827,0.015429858,0.008345766,5.038429293,11863.88493,0.727187482,0.826009281,0.333722138,0.876243725,190.6098595,0.007251283,138.7378277,0.047237939,37.77450417,279.4885938,1127.843718,190454.1049,8.887240428,0.008800407,921.268982,0.313676875,0.57960703,173.084133,0.005431406,7.057415698,0.149260558,1082.957824,7.757876413,1858.155359,0.094432859,12.63374207,1236.229456,22.12951489,206.7507242,43.14565228,7284.208975,0.391141042,0.008423484,0.143823047,38.80064021,0.001250569,0
0.758114329,0.683613138,36.61000322,53.5536858,55,61.81423784,63.3245608,63.5688603,42485.29167,40.59981657,0.330673342,17806.4499,0.41912034,42366,251.3403091,357.2148743,4001682399,2.901763096,54.50691986,5.660151394,494.0469055,34.86286174,303.7405169,306.4018402,30.02700996,464.0198956,22.64632517,307.3353935,-0.770415977,4001682399,0.166705225,2196.742535,139.5995096,11.70431241,610.6589177,-17.69195864,11.72057483,1.288823573,0.80054134,0.658272374,1.498425191,0.837777587,0.065197934,4.718474906,-0.343748658,0.919424784,0.721751752,0.996581631,0.735345949,0.968425005,0.406132571,0.137295049,3.755191003,3.2523496,3518.736746,0.149254748,4.662328124,138.8552432,5.580752426,769.1879469,0.04570439,0.009759239,4.8054571,9982.70508,0.41657931,0.55484623,2.114828248,0.664091952,91.10782906,0.007127741,73.18111003,0.071257167,14.98896494,102.2940604,242630.2317,34153867.17,1767.420616,0.028974522,249.5608569,0.242999861,0.50323282,47.86931853,0.015380517,6.636391154,0.024241137,240928.4885,7.332106485,1888.684747,0.0445802,37.71697862,7062.633574,3.611997812,139.3131048,195.8224048,27059.09052,1.515035824,0.008873687,0.03111225,3.541035913,0.000632206,
0.730736924,0.558908474,15.22779707,27.24560064,30.52867504,24.20743687,26.41968963,31.78049716,4462.833333,19.90936642,0.524637735,2498.609455,0.559870663,4467,366.1737244,551.7643921,958481230.2,3.579106505,106.135025,2.848262247,757.4197998,59.92354118,457.4191028,452.2636719,257.2790527,500.1407471,43.68067855,463.2162966,0.280258829,958481230.2,0.095487146,5337.101783,85.14669669,8.846794296,2363.99682,26.51675341,29.86668795,2.34980452,0.853795312,1.114865287,1.882989619,1.037997882,0.021903085,5.996592564,-0.300002372,0.926260018,0.556034318,0.99478819,0.594459594,0.951628363,0.47410247,0.049112563,4.463412992,8.054123119,312.1971571,0.09304966,9.139898775,87.3919077,2.497094392,208.1696867,0.051262969,0.021569018,4.66369305,2111.688232,0.619579023,0.750253999,0.620385113,0.810609636,71.76608747,0.017749448,11.70212766,0.06224536,20.07311,125.2446809,7662.728723,609089.4096,124.8878292,0.030529051,43.07446809,0.229119511,0.491629997,63.25849974,0.010554553,6.226053647,0.042086411,7098.160791,7.275551111,352.1161854,0.078826099,13.34912809,426.541079,8.665828944,85.86724871,69.50011193,5627.764271,1.336018638,0.021150898,0.056879452,6.113743761,0.001319611,
0.862838341,0.668299919,36.28715992,54.29771704,54.12947441,59.07622195,58.69412236,59.61543424,36665.08333,46.85015207,0.246960189,21611.86735,0.589440017,36577,419.1016541,583.2574219,9252316029,3.406217976,84.94647217,3.210125184,792.8619995,50.94909585,498.8322489,494.8357544,265.8087463,527.0532532,35.43985403,502.9458026,0.269132155,9252316029,0.110891349,4120.867848,115.9395644,10.51947806,1732.123459,29.09714123,23.38877818,2.269400302,0.822781344,1.05873373,1.871237342,1.106020924,0.026257869,5.843104488,-0.269805753,0.903717073,0.57794213,0.995426616,0.611938575,0.956015614,0.475315428,0.059378636,4.307292051,6.414544619,2889.865787,0.107563475,7.048199226,116.8958322,2.521875349,288.7511808,0.028586585,0.011665323,4.571556496,16172.71617,0.595597047,0.73448426,0.610536578,0.797280731,93.7311081,0.009396367,96.35552194,0.072886174,15.26782931,120.4621785,82997.09909,8694041.714,854.0490461,0.017204424,354.4704992,0.268131996,0.534722032,62.01205607,0.008594963,6.591725874,0.036142931,82231.58489,7.272082217,2773.547284,0.075827632,14.92767982,4056.07286,6.680610023,115.9656068,77.39155754,8636.6246,0.85860157,0.011524208,0.052320552,6.145572276,0.000724544,
0.860791662,0.728738424,40.32948206,55.34150624,57.62811814,67.67569726,61.98386887,69.69935437,61042.25,47.63750712,0.348298431,21525.48581,0.352632575,60991,536.7816772,773.8839111,25853419738,3.979201593,125.0744324,4.708885789,1127.254028,77.67818451,643.10647,631.1019897,15.4040699,1111.849958,51.86147497,651.0676571,0.515855325,25853419738,0.078738082,10303.16232,698.3793843,26.16983558,15420.83372,278.4353854,58.98199504,4.906695394,0.846341124,1.329932949,2.167466275,3.042263497,0.018750986,6.659577187,-0.312903223,0.948804308,0.556882312,0.997758501,0.595398497,0.973114771,0.43569833,0.054345493,4.884502762,15.97217261,3165.856517,0.072849796,18.57177405,721.785031,2.939939414,1975.132113,0.004822932,0.001621153,5.251852247,25977.0944,0.592275073,0.711726699,0.899628439,0.795983066,583.0699195,0.001296641,145.6318981,0.04415764,42.12261221,761.4454215,54535.37993,33801633.92,90.21830805,0.00224146,855.9429958,0.259533959,0.523816818,390.735615,0.001313738,7.454908908,0.054073552,54193.3767,8.018624725,3783.731616,0.06203754,26.45590807,4802.314358,16.57080969,704.2947976,98.62273122,62761.35118,0.163588762,0.001620861,0.064773775,48.82378368,0.000131273,
0.74897647,0.62045505,26.53631215,42.76911297,48.37354649,48.54894438,47.80167361,50.04997502,21217.75,32.03305925,0.478546989,7745.07727,0.365028208,21250,383.110083,490.8612579,4062179118,2.90457211,56.80688477,7.906310665,863.6191406,37.62354125,434.1212266,424.1139984,263.6606445,599.9584961,23.63184148,437.2200479,1.63584397,4062179118,0.170572999,2700.130868,65.10664477,7.847098433,1653.318441,91.54628419,15.27880408,1.160276735,0.858416847,0.654616759,1.475698883,0.718987323,0.06697207,4.699111818,-0.356399616,0.927718532,0.715180773,0.998181703,0.728222251,0.975488315,0.427895243,0.155808635,3.775185991,4.109770203,1785.559095,0.1491467,5.686562462,72.01052936,5.256712541,312.5234385,0.106470667,0.019245878,4.801295806,5064.168943,0.417842546,0.561853394,1.928602641,0.665952629,51.28619349,0.012717604,30.28820961,0.066131462,20.30661124,114.9650655,146843.1135,7878289.795,2948.366752,0.028427823,115.0567686,0.251215652,0.510433184,62.8710876,0.014582937,6.524538999,0.021552941,144690.3967,7.24609395,987.3305412,0.046462614,34.56403648,3624.676235,4.401318409,66.18757647,188.1210353,10544.27021,3.858338984,0.019597415,0.029038123,2.931094953,0.000662133,
0.968441391,0.56199198,33.64240706,59.86278851,67.95586803,90.73588044,61.85466838,91.98369421,18208,57.97360217,0.1856716,18026.58556,0.990036553,18354,342.1907959,753.2016724,6162926171,4.665435762,199.0248566,2.915927196,1111.67334,122.6276144,558.3390707,565.7565918,0,1111.67334,84.38264463,579.4662134,-0.087087677,6162926171,0.046326772,24038.5746,559.3261262,23.07289723,46375.75529,-101.9343001,124.7150862,17.07559219,0.7551129,2.937319251,3.095674349,8.026938151,0.004823666,8.387320573,-0.175478134,0.871634621,0.325979412,0.991919533,0.403805759,0.941872948,0.318382168,0.015150859,5.497368877,35.4476696,748.6448318,0.045334295,39.48850597,558.0686461,1.402048276,790.4854801,0.003743439,0.002843723,5.185556503,13791.73125,0.833936159,0.899615259,0.161576101,0.929740811,517.6591618,0.002680743,221.1376375,0.03922271,49.55372903,540.8309684,132.3086201,78069.44839,0.251415351,0.003611271,2173.843562,0.385569983,0.645423194,347.2003401,0.00259158,6.966608742,0.307180996,121.7109276,7.586183639,2798.623733,0.152480317,6.455508521,850.2815735,38.44997604,559.9977117,19.48763212,11420.76343,0.041951081,0.00278598,0.272886217,148.3103655,0.000992117,
0.897449987,0.769017021,38.76887857,50.41355067,60.08327554,63.0634601,64.51356447,67.15653356,42962.45833,45.24364037,0.270309256,21945.69248,0.510810911,43379,344.3283752,464.4171753,7193014293,2.957966884,63.42182922,3.430650655,650.8488159,37.23611124,404.5013581,403.9253235,0,650.8488159,26.18210969,407.2074299,0.218165911,7193014293,0.149564018,2196.542277,276.1817717,16.52959149,471.9600475,7.960041872,12.80756495,0.991760842,0.856257341,0.628780119,1.432704572,0.583176426,0.053524097,4.784265838,-0.3654241,0.934147947,0.718561732,0.998655761,0.731329675,0.977969021,0.42757928,0.10973823,3.847377415,3.449831449,3697.319199,0.147326439,3.83838161,290.1427527,4.911073248,1328.183839,0.019121119,0.003681099,4.655903078,11153.98925,0.437609016,0.578541194,1.782413319,0.682140885,202.3640034,0.002474698,103.5338208,0.094637862,10.43525094,340.9835466,216259.8272,59030873.07,810.067295,0.004333552,314.9104205,0.287852304,0.552822111,187.4135798,0.002859292,6.191579906,0.025219576,214687.567,7.366062303,2018.657161,0.046535355,34.91809909,6487.93755,3.603700498,281.8140114,177.9101639,47214.86323,0.702065127,0.003762225,0.033298229,10.6973943,0.000139003,
0.630886652,0.554793307,32.58555033,58.73457723,48.05205511,54.12023651,59.16924877,60.94259594,17602.29167,37.05486081,0.291165246,11238.90664,0.638491104,17816,588.4780884,989.7460938,11411779169,4.711019501,217.8504028,4.4287799,1248.736206,128.7941108,783.0555415,790.1289673,10.24731636,1238.48889,89.6106246,800.334572,-0.589660294,11411779169,0.044769366,27359.4461,1057.119518,31.93527844,90421.13751,-812.9464468,156.3296393,7.341036808,0.909399914,1.861539569,2.487566495,3.72348683,0.006438392,7.803566952,-0.329589784,0.972921507,0.427646894,0.997138344,0.490500532,0.965372446,0.407420332,0.013349111,5.645139492,40.91766902,666.5779525,0.04461448,45.20072268,1056.463002,1.737434024,1829.831055,0.002956213,0.001977086,5.457389557,11154.94701,0.743125652,0.838973611,0.300756733,0.884647524,933.7043306,0.001834297,64.90385631,0.034286242,86.27641415,900.3792921,1532.444797,1464583.751,1.813814916,0.005117138,524.2255679,0.276928456,0.54125443,449.3719301,0.002959995,7.610012657,0.106252806,1443.868161,7.99313025,1980.741581,0.111177682,8.217056688,797.6110238,43.84435568,1056.449203,35.11876965,36223.50668,0.042576322,0.001864062,0.118024675,111.8115146,0.000465444,
